ed,candidacy_id,name,first_choice,final_round,is_major
28053,221183,Shaun Donovan,7,0,True
28054,217796,Andrew Yang,29,0,True
28054,217572,Eric L. Adams,24,45,True
28054,217605,Scott M. Stringer,8,0,True
28054,219978,Kathryn A. Garcia,23,54,True
28054,219469,Maya D. Wiley,18,0,True
28054,218127,Raymond J. McGuire,1,0,True
28054,221141,Art Chang,3,0,False
28054,217654,Aaron S. Foldenauer,2,0,False
28054,218491,Dianne Morales,1,0,True
28054,221183,Shaun Donovan,7,0,True
28055,217796,Andrew Yang,20,0,True
28055,217572,Eric L. Adams,19,30,True
28055,217605,Scott M. Stringer,3,0,True
28055,219978,Kathryn A. Garcia,13,37,True
28055,218922,Joycelyn Taylor,1,0,False
28055,219469,Maya D. Wiley,18,0,True
28055,218127,Raymond J. McGuire,1,0,True
28055,217654,Aaron S. Foldenauer,1,0,False
28055,218491,Dianne Morales,0,0,True
28055,221183,Shaun Donovan,1,0,True
28056,217796,Andrew Yang,64,0,True
28056,217572,Eric L. Adams,29,57,True
28056,217605,Scott M. Stringer,12,0,True
28056,219978,Kathryn A. Garcia,40,107,True
28056,219469,Maya D. Wiley,36,0,True
28056,218127,Raymond J. McGuire,2,0,True
28056,221458,Isaac Wright Jr.,1,0,False
28056,221141,Art Chang,4,0,False
28056,218491,Dianne Morales,14,0,True
28056,221183,Shaun Donovan,10,0,True
28057,217796,Andrew Yang,26,0,True
28057,217605,Scott M. Stringer,5,0,True
28057,219978,Kathryn A. Garcia,12,40,True
28057,219469,Maya D. Wiley,18,0,True
28057,218127,Raymond J. McGuire,1,0,True
28057,221141,Art Chang,1,0,False
28057,217572,Eric L. Adams,19,28,True
28057,218922,Joycelyn Taylor,1,0,False
28057,217654,Aaron S. Foldenauer,2,0,False
28057,218491,Dianne Morales,3,0,True
28057,221183,Shaun Donovan,8,0,True
28058,217796,Andrew Yang,22,0,True
28058,217605,Scott M. Stringer,11,0,True
28058,218117,Paperboy Love Prince,1,0,False
28058,219978,Kathryn A. Garcia,40,69,True
28058,219469,Maya D. Wiley,16,0,True
28058,218127,Raymond J. McGuire,2,0,True
28058,221141,Art Chang,3,0,False
28058,217572,Eric L. Adams,33,43,True
28058,217654,Aaron S. Foldenauer,2,0,False
28058,218491,Dianne Morales,3,0,True
28058,221183,Shaun Donovan,2,0,True
28059,217796,Andrew Yang,9,0,True
28059,217572,Eric L. Adams,5,10,True
28059,217605,Scott M. Stringer,1,0,True
28059,219978,Kathryn A. Garcia,0,6,True
28059,219469,Maya D. Wiley,4,0,True
28059,218127,Raymond J. McGuire,1,0,True
