ed,ballots,first_choice_total,final_round_active,first_winner_id,first_winner,first_winner_pct,final_winner_id,final_winner,final_winner_pct
49004,134,134,134,0,Curtis A. Sliwa,49.25373134328358,0,Curtis A. Sliwa,49.25373134328358
49005,98,98,98,0,Curtis A. Sliwa,57.14285714285714,0,Curtis A. Sliwa,57.14285714285714
49006,65,65,65,0,Curtis A. Sliwa,73.84615384615385,0,Curtis A. Sliwa,73.84615384615385
49007,51,51,51,0,Curtis A. Sliwa,52.94117647058824,0,Curtis A. Sliwa,52.94117647058824
49008,106,106,106,0,Curtis A. Sliwa,48.113207547169814,0,Curtis A. Sliwa,48.113207547169814
49009,135,135,135,0,Curtis A. Sliwa,60.0,0,Curtis A. Sliwa,60.0
49010,122,122,122,0,Curtis A. Sliwa,59.83606557377049,0,Curtis A. Sliwa,59.83606557377049
49011,72,72,72,0,Curtis A. Sliwa,75.0,0,Curtis A. Sliwa,75.0
49012,50,50,50,0,Curtis A. Sliwa,52.0,0,Curtis A. Sliwa,52.0
49013,44,44,44,0,Eric L. Adams,47.72727272727273,0,Eric L. Adams,47.72727272727273
49016,163,163,163,0,Curtis A. Sliwa,56.44171779141104,0,Curtis A. Sliwa,56.44171779141104
49017,169,169,169,0,Curtis A. Sliwa,64.49704142011834,0,Curtis A. Sliwa,64.49704142011834
49018,34,34,34,0,Curtis A. Sliwa,70.58823529411765,0,Curtis A. Sliwa,70.58823529411765
49019,171,171,171,0,Eric L. Adams,49.707602339181285,0,Eric L. Adams,49.707602339181285
49020,96,96,96,0,Eric L. Adams,55.208333333333336,0,Eric L. Adams,55.208333333333336
49021,174,174,174,0,Curtis A. Sliwa,52.29885057471264,0,Curtis A. Sliwa,52.29885057471264
49022,252,252,252,0,Curtis A. Sliwa,58.730158730158735,0,Curtis A. Sliwa,58.730158730158735
49023,173,173,173,0,Curtis A. Sliwa,61.27167630057804,0,Curtis A. Sliwa,61.27167630057804
49024,135,135,135,0,Curtis A. Sliwa,60.74074074074074,0,Curtis A. Sliwa,60.74074074074074
49025,194,194,194,0,Curtis A. Sliwa,72.16494845360825,0,Curtis A. Sliwa,72.16494845360825
49026,164,164,164,0,Curtis A. Sliwa,66.46341463414635,0,Curtis A. Sliwa,66.46341463414635
49027,111,111,111,0,Curtis A. Sliwa,66.66666666666666,0,Curtis A. Sliwa,66.66666666666666
49028,192,192,192,0,Curtis A. Sliwa,72.91666666666666,0,Curtis A. Sliwa,72.91666666666666
49029,40,40,40,0,Curtis A. Sliwa,57.49999999999999,0,Curtis A. Sliwa,57.49999999999999
49030,94,94,94,0,Curtis A. Sliwa,60.63829787234043,0,Curtis A. Sliwa,60.63829787234043
49031,96,96,96,0,Curtis A. Sliwa,67.70833333333334,0,Curtis A. Sliwa,67.70833333333334
49032,53,53,53,0,Curtis A. Sliwa,52.83018867924528,0,Curtis A. Sliwa,52.83018867924528
49033,38,38,38,0,Curtis A. Sliwa,57.89473684210527,0,Curtis A. Sliwa,57.89473684210527
49034,77,77,77,0,Curtis A. Sliwa,51.94805194805194,0,Curtis A. Sliwa,51.94805194805194
49035,189,189,189,0,Curtis A. Sliwa,64.02116402116403,0,Curtis A. Sliwa,64.02116402116403
49036,68,68,68,0,Curtis A. Sliwa,66.17647058823529,0,Curtis A. Sliwa,66.17647058823529
49037,202,202,202,0,Curtis A. Sliwa,57.920792079207914,0,Curtis A. Sliwa,57.920792079207914
49038,162,162,162,0,Curtis A. Sliwa,63.580246913580254,0,Curtis A. Sliwa,63.580246913580254
49039,191,191,191,0,Curtis A. Sliwa,56.54450261780105,0,Curtis A. Sliwa,56.54450261780105
49040,188,188,188,0,Curtis A. Sliwa,50.0,0,Curtis A. Sliwa,50.0
49041,169,169,169,0,Curtis A. Sliwa,60.946745562130175,0,Curtis A. Sliwa,60.946745562130175
49042,91,91,91,0,Eric L. Adams,48.35164835164835,0,Eric L. Adams,48.35164835164835
49043,126,126,126,0,Curtis A. Sliwa,66.66666666666666,0,Curtis A. Sliwa,66.66666666666666
49044,81,81,81,0,Curtis A. Sliwa,54.32098765432099,0,Curtis A. Sliwa,54.32098765432099
49045,56,56,56,0,Curtis A. Sliwa,57.14285714285714,0,Curtis A. Sliwa,57.14285714285714
49046,45,45,45,0,Curtis A. Sliwa,80.0,0,Curtis A. Sliwa,80.0
49047,221,221,221,0,Curtis A. Sliwa,56.56108597285068,0,Curtis A. Sliwa,56.56108597285068
49048,266,266,266,0,Curtis A. Sliwa,65.41353383458647,0,Curtis A. Sliwa,65.41353383458647
49049,241,241,241,0,Curtis A. Sliwa,63.90041493775933,0,Curtis A. Sliwa,63.90041493775933
49050,236,236,236,0,Curtis A. Sliwa,64.40677966101694,0,Curtis A. Sliwa,64.40677966101694
49051,229,229,229,0,Curtis A. Sliwa,65.06550218340611,0,Curtis A. Sliwa,65.06550218340611
49052,189,189,189,0,Curtis A. Sliwa,64.02116402116403,0,Curtis A. Sliwa,64.02116402116403
49053,377,377,377,0,Curtis A. Sliwa,68.16976127320955,0,Curtis A. Sliwa,68.16976127320955
